original_uri,author,text,uri
at://did:plc:4pflfge55lfib5mzy6szdjrr/app.bsky.feed.post/3m6mkoniukk2i,aleccoakley.bsky.social,"Hey #speirgorm, are we still supposed to beep the horn on windy roads or is that gone?",at://did:plc:4pflfge55lfib5mzy6szdjrr/app.bsky.feed.post/3m6mkoniukk2i
at://did:plc:gmbqy5pcenb4bduadxtinou7/app.bsky.feed.post/3m6mkgtjqus2g,dov.bsky.social,a bunch of you already post about irish defence policy as if speirgorm posters are a representative sample of the nation and all i can say is that by that metric every second american must be a furry in a polycule,at://did:plc:gmbqy5pcenb4bduadxtinou7/app.bsky.feed.post/3m6mkgtjqus2g
at://did:plc:wk4vbtn77njhk4mlohgewj2m/app.bsky.feed.post/3m6mk75orpk2s,caroleducky.bsky.social,"#Dublin #Ireland #Traffic
#SpeirGorm",at://did:plc:wk4vbtn77njhk4mlohgewj2m/app.bsky.feed.post/3m6mk75orpk2s
at://did:plc:gjsoejzm7at4syhrvzgizrev/app.bsky.feed.post/3m6mi7pmawk2f,ainekeenan.bsky.social,"When you go will you send 
back a letter from America?
Take a look up the rail track 
from Miami to Canada ...

The Proclaimers, 20th century

#Photography #Wisdom #Poetry #SpeirGorm #StreetPhotography #RamanaMaharshi #Ashram #India #ImageAndVerse #ArtOfBlueSky #PhotographersOfBlueSky #EastCoastKin",at://did:plc:gjsoejzm7at4syhrvzgizrev/app.bsky.feed.post/3m6mi7pmawk2f
at://did:plc:ymhebkmh56zigyqiomogsupn/app.bsky.feed.post/3m6mhaargy22q,taesaveslives.bsky.social,"Nice positive story of a real working young person. Not from a farm so has to lease the entire place, and that's a cost he has to bear.
Left school at 16 only to do so well in third level ag course we won student of the year. Had to ""fight long and hard"" to get bank lending #speirgorm",at://did:plc:ymhebkmh56zigyqiomogsupn/app.bsky.feed.post/3m6mhaargy22q
at://did:plc:ymhebkmh56zigyqiomogsupn/app.bsky.feed.post/3m6mgxh2sa22q,taesaveslives.bsky.social,"If you wonder why farmers can be so hostile to environmentalists its often because of the talking down to

We've spend €26-40k on water quality
People who dont work in our sector telling us what good or bad leadership is so dismissive
Maybe talk to actual farmers rather than echo chambers
#speirgorm",at://did:plc:ymhebkmh56zigyqiomogsupn/app.bsky.feed.post/3m6mgxh2sa22q
at://did:plc:v6y63c54iecyzlxp3vrxvwv2/app.bsky.feed.post/3m6mfzsi4mk2i,rdisc0mb0bulate.bsky.social,"I saw a TikTok that spoke about seeing the cats you’ve lost, finding each other and I was not prepared for it and now I’m sitting here crying. 

Don’t let anyone ever tell you pet grief isn’t real! 
#SpeirGorm",at://did:plc:v6y63c54iecyzlxp3vrxvwv2/app.bsky.feed.post/3m6mfzsi4mk2i
at://did:plc:ymhebkmh56zigyqiomogsupn/app.bsky.feed.post/3m6mc5wi2wc2s,taesaveslives.bsky.social,"Even for non-derogation farmers this is great news.
For non farmers opposed to it I'd ask a simple question, why were farmers/groups who represent no derogation farmers (upland farmers & grain producers) ALL supporting it?
There'll be strict conditions too #speirgorm 
www.agriland.ie/farming-news...",at://did:plc:ymhebkmh56zigyqiomogsupn/app.bsky.feed.post/3m6mc5wi2wc2s
at://did:plc:v6y63c54iecyzlxp3vrxvwv2/app.bsky.feed.post/3m6mbwz65tc2h,rdisc0mb0bulate.bsky.social,"I just found a One4All card tucked away in a drawer. 

€50 balance still intact! 

Nice! 
#SpeirGorm",at://did:plc:v6y63c54iecyzlxp3vrxvwv2/app.bsky.feed.post/3m6mbwz65tc2h
at://did:plc:jr5xhxt5w6a2jqh2os36rkvg/app.bsky.feed.post/3m6mblqrmss2x,ciara2001.bsky.social,"For those who have heard us on #speirgorm wax lyrically about the spice bag, here's all you need to know",at://did:plc:jr5xhxt5w6a2jqh2os36rkvg/app.bsky.feed.post/3m6mblqrmss2x
at://did:plc:hbdv3kavhrd7dwwbpeewrdzo/app.bsky.feed.post/3m6mapdpvps2s,ancienteejit.bsky.social,I may only have 50 followers and most of them are bots I'm sure but I highly recommend this book. Read it years ago and really enjoyed it. #spéirgorm #buylocal,at://did:plc:hbdv3kavhrd7dwwbpeewrdzo/app.bsky.feed.post/3m6mapdpvps2s
at://did:plc:swknwdgyvbkrbda6fdhhwefj/app.bsky.feed.post/3m6m7uxf73k2d,electionlit.bsky.social,"During the Presidential campaign a question came into the WhatsApp group.  ""Is Catherine Connolly married?"", someone had been asked this when canvassing.  These days candidates tend not to share too much personal details in their material or indeed online. That wasn't always the case.... #speirgorm",at://did:plc:swknwdgyvbkrbda6fdhhwefj/app.bsky.feed.post/3m6m7uxf73k2d
at://did:plc:e2vdb3yylfvzgvlo3fi5mrkf/app.bsky.feed.post/3m6m6kqnum22x,atticuspeirgorm.bsky.social,"🧵🌍👇
#Climate #Speirgorm",at://did:plc:e2vdb3yylfvzgvlo3fi5mrkf/app.bsky.feed.post/3m6m6kqnum22x
at://did:plc:wzelpzmv2b3oudwhkcpr2s6n/app.bsky.feed.post/3m6m2uyypnc2c,drmarymcauliffe.bsky.social,"Lovely photo of my mother and her friends - can you guess which one she is! My sister looks more like her than I do, but I do look a bit like her too! #speirgorm",at://did:plc:wzelpzmv2b3oudwhkcpr2s6n/app.bsky.feed.post/3m6m2uyypnc2c
at://did:plc:4bl6bpnggvjb3qgcwhosv6xg/app.bsky.feed.post/3m6lzooovec2j,hayleymulch.com,"My Winter Sale is now on at hayleymulch.com !

More deets about the sale here: hayleymulch.com/blogs/news/w...

#BSNM #BlackFriday #CyberMonday #SmallBusiness #SmallBusinessSaturday #Art #ArtSky #SpéirGorm",at://did:plc:4bl6bpnggvjb3qgcwhosv6xg/app.bsky.feed.post/3m6lzooovec2j
at://did:plc:v6y63c54iecyzlxp3vrxvwv2/app.bsky.feed.post/3m6luslay622e,rdisc0mb0bulate.bsky.social,"Good morning, #SpeirGorm

I took today off work. I have quite a bit of house stuff to do which involves moving existing furniture and hopefully assembling the new sideboard that is arriving today! 

Busy, busy, busy!",at://did:plc:v6y63c54iecyzlxp3vrxvwv2/app.bsky.feed.post/3m6luslay622e
at://did:plc:b5yxc2nhcgrbtu3twvlg3i7a/app.bsky.feed.post/3m6liyocx7s2e,siobhanmcelduff.bsky.social,"The lost sister to yer man who took out Gavin with his tale of the stolen rent.

#spéirghorm #speirgorm",at://did:plc:b5yxc2nhcgrbtu3twvlg3i7a/app.bsky.feed.post/3m6liyocx7s2e
at://did:plc:vaawjhgwzilckuoc72ovydtt/app.bsky.feed.post/3m6kplorka22v,jayroszman.bsky.social,"Dear #Speirgorm :

I'll be in Dublin Saturday AM for a meeting and won't be taking the train back to Cork till late afternoon. I need xmas gifts for family in US – where would you go for cool artsy, crafty, independent Irish stuff?",at://did:plc:vaawjhgwzilckuoc72ovydtt/app.bsky.feed.post/3m6kplorka22v
at://did:plc:jkgqy6z3shq6puqnt3t4g2to/app.bsky.feed.post/3m6knvkac4c2n,thenpw.bsky.social,Listened to this today. It was insanely delicious! Please give it a whirl... 🍎 #speirgorm,at://did:plc:jkgqy6z3shq6puqnt3t4g2to/app.bsky.feed.post/3m6knvkac4c2n
at://did:plc:3zrtumskbaikoqc2z3ou3nnc/app.bsky.feed.post/3m6kmtzr76c2v,shanerazor.bsky.social,"The National Development Plan 2040 summed up in 15 secs #speirgorm #transport 

youtu.be/cjl8OIZijjY?...",at://did:plc:3zrtumskbaikoqc2z3ou3nnc/app.bsky.feed.post/3m6kmtzr76c2v
at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6klhhw2ss2b,sharrow.bsky.social,"That is a worrying trend.

High rate of c sections can be, unreasonable time lines set by hospitals, or consultants preferences ré timing.

C sections cost more & take longer to recover from.

I look forward to Aims ireland statement on this.

#spéirgorm",at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6klhhw2ss2b
at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6kk5tbhuc2g,sharrow.bsky.social,"Grooming children via #roblox 

#notallmenbutenoughofthem 

#spéirgorm 

jrnl.ie/6886439",at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6kk5tbhuc2g
at://did:plc:htzrfp3q6p3ht3x7knog6mdd/app.bsky.feed.post/3m6kjh7vpds2z,grainneblair.bsky.social,"#Speirgorm #NollaignamBan10/01/26 
#MaeveBrennan #EmilieConway #DADA",at://did:plc:htzrfp3q6p3ht3x7knog6mdd/app.bsky.feed.post/3m6kjh7vpds2z
at://did:plc:wpvwcjuhrpr5tjnhy3vp24ly/app.bsky.feed.post/3m6kihc7cnc2k,fhayesmccoy.bsky.social,"Right, I'm into the winter writing garment 

#corcadhuibhne #weather #spéirgorm #writingcommunity #booksky",at://did:plc:wpvwcjuhrpr5tjnhy3vp24ly/app.bsky.feed.post/3m6kihc7cnc2k
at://did:plc:zcsbyrhosie7d223zrx5ffjy/app.bsky.feed.post/3m6khzysjbc2q,weirdireland.bsky.social,Thing go boing #speirgorm,at://did:plc:zcsbyrhosie7d223zrx5ffjy/app.bsky.feed.post/3m6khzysjbc2q
at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6kh2ssl3226,sharrow.bsky.social,"20 grand is the minimum cost of defending a defamation accusation in the courts.

If you loose then you have that 20 grand, the same or more of the other person's costs and then the ammount awarded by the court as damages.

So 20 grand is the minimum settlement or gonaway money.

#spéirgorm",at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6kh2ssl3226
at://did:plc:z6phioqd5wrigle4t4jbveif/app.bsky.feed.post/3m6kf4dw2ss22,robertbohan.bsky.social,"Time to look at getting kids vaccinated, especially where there are children who are immunosuppressed in the same school. Vaccines are free from pharmacies & GPs: #SpeirGorm",at://did:plc:z6phioqd5wrigle4t4jbveif/app.bsky.feed.post/3m6kf4dw2ss22
at://did:plc:xsswt6efjmn473fgruxq752a/app.bsky.feed.post/3m6kbbroctk2v,simonb84.bsky.social,"The last 2 days have been an epic failure for the better Public Transport agenda. This government has shat over nearly every project you can think of. 

#SpéirGorm #IrishPolitics",at://did:plc:xsswt6efjmn473fgruxq752a/app.bsky.feed.post/3m6kbbroctk2v
at://did:plc:ght3uub7kpjobedtjycijk45/app.bsky.feed.post/3m6kajfrioc2y,karlstanley.bsky.social,"If you live in Ireland, remember that in recent memory a single rugby-loving bank CEO cost the taxpayer more than every single welfare recipient in the state COMBINED. #SpeirGorm",at://did:plc:ght3uub7kpjobedtjycijk45/app.bsky.feed.post/3m6kajfrioc2y
at://did:plc:vtluikc62q3hcfkazd4l7xml/app.bsky.feed.post/3m6jwgeusas2m,yerwannn.bsky.social,"Does anyone else get a little eye twitch when they're tired? I told my boyf that I had the sleepy twitches and he looked at me like I'd 12 heads. I can't be the only slightly-twitchy-sleepy- person?

#speirgorm",at://did:plc:vtluikc62q3hcfkazd4l7xml/app.bsky.feed.post/3m6jwgeusas2m
at://did:plc:56aoxjem4pjvtqsscuhq223t/app.bsky.feed.post/3m6juewec3222,rogerokeeffe.bsky.social,"Naming it after an individual is clearly too divisive.

Let's just call it #Coddle International Airport (which also rings the ""CIA"" bell and   nods towards our status as a US Overseas Dependency).
#speirgorm",at://did:plc:56aoxjem4pjvtqsscuhq223t/app.bsky.feed.post/3m6juewec3222
at://did:plc:nxkyqaqc7uo2rgichloepcbm/app.bsky.feed.post/3m6jtj7wymk2r,irelandsedge.bsky.social,"In our age of ever-shorter attention spans, long-form reporting has become an endangered art. But some stories require months and years of investigation and thought to be told properly.

#IrelandsEdge25 #OtherVoices25 #SpeirGorm",at://did:plc:nxkyqaqc7uo2rgichloepcbm/app.bsky.feed.post/3m6jtj7wymk2r
at://did:plc:rd67s5mrnrwg5bqhvzft2kgv/app.bsky.feed.post/3m6jpivq6vk2j,sellybeth.bsky.social,"Does this ""household fee"" seem a bit off to anyone else? A hundred quid for items I'm not allowed to keep, or items that I'll be providing myself since they have to be replaced fáideog regularly?

#SpéirGhorm #SpéirGorm",at://did:plc:rd67s5mrnrwg5bqhvzft2kgv/app.bsky.feed.post/3m6jpivq6vk2j
at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6jo5bbbhc2n,slated.ie,"🎁 Small gift. Big luxury.

The SLATED Alphabet Coaster — carved slate, artisan-made, timeless.

Perfect Kris Kindle swap. Perfect stocking moment.

A present that says: “Chosen, not convenient.”

SLATED Alphabet Coaster. The tiny upgrade everyone keeps. ✨

#SLATED #speirgorm #speirghorm 

Slated.ie",at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6jo5bbbhc2n
at://did:plc:wpvwcjuhrpr5tjnhy3vp24ly/app.bsky.feed.post/3m6jlpcfr4s2s,fhayesmccoy.bsky.social,"Good heavens. A friend just sent me this 1983 cutting from the Sindo's arts page. I'd completely forgotten The Edgerton Werewolf. Nice to see that Brendan Kennelly approved of it

#spéirgorm #irish #writing #fiction @independent.ie  @irishlittimes.bsky.social @ronanhession.bsky.social  #booksky💙📚",at://did:plc:wpvwcjuhrpr5tjnhy3vp24ly/app.bsky.feed.post/3m6jlpcfr4s2s
at://did:plc:wzelpzmv2b3oudwhkcpr2s6n/app.bsky.feed.post/3m6jj2zlafc2d,drmarymcauliffe.bsky.social,"Where is the kindness when we talk about trans people? Deeply empathetic essay from Kathy Sheridan. The take of the young girl at the centre of transphobic outrage at a match is a horror story, but this where transphobia takes people! #speirgorm 

www.irishtimes.com/opinion/2025...",at://did:plc:wzelpzmv2b3oudwhkcpr2s6n/app.bsky.feed.post/3m6jj2zlafc2d
at://did:plc:wm5b3q2znvnatujmm46yucon/app.bsky.feed.post/3m6jhjimx222g,aldunne.bsky.social,"Who remembers this little kerfuffle from 20 years ago. Dartmouth Square forever trying to insert itself as a Main Character it seems

#spéirgorm

m.independent.ie/irish-news/s...",at://did:plc:wm5b3q2znvnatujmm46yucon/app.bsky.feed.post/3m6jhjimx222g
at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6jgyphjjc2t,sharrow.bsky.social,"Heavens forbid a government have a 5 year plan and a budget which spans that. 

#spéirgorm 

 www.breakingnews.ie/ireland/gove... 

Government 'needs to move away from year-to-year budgeting', fiscal watchdog warns",at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6jgyphjjc2t
at://did:plc:gjsoejzm7at4syhrvzgizrev/app.bsky.feed.post/3m6jc4cgvuk22,ainekeenan.bsky.social,"come on come on
let me into your temple
come on come on
I want into your temple
come on come on
let me into the temple
come on come on
I want into the temple

Jane Siberry, 21st century

#Photography #Wisdom #Poetry #SpeirGorm #India #ImageAndVerse #ArtOfBlueSky #PhotographersOfBlueSky #EastCoastKin",at://did:plc:gjsoejzm7at4syhrvzgizrev/app.bsky.feed.post/3m6jc4cgvuk22
at://did:plc:gjsoejzm7at4syhrvzgizrev/app.bsky.feed.post/3m6jc4cgvuk22,NA,NA,NA
at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6j5ai5h322u,sharrow.bsky.social,"Philomena Lee airport

Ann Lovett Airport

Joanne Hayes Airport

I could go on.. 

#spéirgorm",at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6j5ai5h322u
at://did:plc:wzelpzmv2b3oudwhkcpr2s6n/app.bsky.feed.post/3m6j3uttqmk2f,drmarymcauliffe.bsky.social,"Lemass wasn’t the absolute worst (as FF Taoisigh go) but he did introduce the 1935 Conditions of Employment Act which restricted women’s access to the workplace. His biographer says he was sexist & regarded women’s employment as ‘contrary to the Irish way of life’, so that’s a no from me. #speirgorm",at://did:plc:wzelpzmv2b3oudwhkcpr2s6n/app.bsky.feed.post/3m6j3uttqmk2f
at://did:plc:jxo3eqeeh3kxphirpaqlbnaq/app.bsky.feed.post/3m6ihw2g62s2w,hazelklarkin.bsky.social,"Are you fucking kidding me?? I'd sooner see it named after Dustin the Turkey. 
#SpéirGorm",at://did:plc:jxo3eqeeh3kxphirpaqlbnaq/app.bsky.feed.post/3m6ihw2g62s2w
at://did:plc:jl6cn5yuzpi4tj5vfl7ysfrm/app.bsky.feed.post/3m6ifpvkwjk2q,shazbear.bsky.social,Grim #SpeirGorm,at://did:plc:jl6cn5yuzpi4tj5vfl7ysfrm/app.bsky.feed.post/3m6ifpvkwjk2q
at://did:plc:y4m2fu2kg5w5e6y4io5qn3rv/app.bsky.feed.post/3m6ifckwljk2b,amflynn.bsky.social,"Joking aside, every day, there are TDs in the Dáil taking it upon themselves to try and single-handedly make fools of us all for bothering to participate in the democratic process 
#SpeirGorm",at://did:plc:y4m2fu2kg5w5e6y4io5qn3rv/app.bsky.feed.post/3m6ifckwljk2b
at://did:plc:trjaqvpxbhcheqnr5fv6tkpm/app.bsky.feed.post/3m6idh5ftek2i,johnbarrington.bsky.social,"Reminded this evening that as a kid and feeling unwell we’d be given an ‘egg flip’ to fortify us.
A simple recipe of an egg, warm milk, and sugar whipped together into a hearty drink.
#Spéirghorm #Speirgorm #Ireland",at://did:plc:trjaqvpxbhcheqnr5fv6tkpm/app.bsky.feed.post/3m6idh5ftek2i
at://did:plc:ets3sxbntmhmfjb42w3cphky/app.bsky.feed.post/3m6i72pubss2f,adrianlegg.bsky.social,"Billionaire migrants from Kanturk.
#speirgorm #cork #like
wesleystubenbord.com/viz/billiona...",at://did:plc:ets3sxbntmhmfjb42w3cphky/app.bsky.feed.post/3m6i72pubss2f
at://did:plc:lcczgcqfsgyocligu3ukzexx/app.bsky.feed.post/3m6i3vojefs26,squeefulraven.bsky.social,"#SumikkoGurashi, a #Japanese character series designed for kids and gained a massive adult following has actually melted my ovaries with the #Squee! Watched the first movie last night and UGLY CRIED at the #bittersweet ending! Highly recommended, super cute 🥰 

#Anime #SpéirGorm #SpeirGorm #Cute",at://did:plc:lcczgcqfsgyocligu3ukzexx/app.bsky.feed.post/3m6i3vojefs26
at://did:plc:jhndv2ueuu77qaiw5ivjkhx7/app.bsky.feed.post/3m6hzjxn55s24,despod.bsky.social,I expect the Irish Times will let us know soon enough whether the JR of the MetroLink decision is a good one or a bad one. #Speirgorm,at://did:plc:jhndv2ueuu77qaiw5ivjkhx7/app.bsky.feed.post/3m6hzjxn55s24
at://did:plc:2niyblt7yhgmidf5z3gjsrv7/app.bsky.feed.post/3m6hyvz3m4c2e,cc42.bsky.social,#SpéirGorm,at://did:plc:2niyblt7yhgmidf5z3gjsrv7/app.bsky.feed.post/3m6hyvz3m4c2e
at://did:plc:wk4vbtn77njhk4mlohgewj2m/app.bsky.feed.post/3m6hw65sja22q,caroleducky.bsky.social,"Ma must have untied him from her kitchen table (& he headed straight back to the school). 🤦🏻‍♀️😁

‘Enoch Burke returned to Mountjoy Prison on foot of contempt of court order.’ 
 jrnl.ie/6885476
#SpeirGorm",at://did:plc:wk4vbtn77njhk4mlohgewj2m/app.bsky.feed.post/3m6hw65sja22q
at://did:plc:e2vdb3yylfvzgvlo3fi5mrkf/app.bsky.feed.post/3m6huhrmcak2y,atticuspeirgorm.bsky.social,"Let the people decide?

#Speirgorm",at://did:plc:e2vdb3yylfvzgvlo3fi5mrkf/app.bsky.feed.post/3m6huhrmcak2y
at://did:plc:yq6twtxsyczk7wtcptg76za2/app.bsky.feed.post/3m6hpxgpt3c2p,roc83.bsky.social,"Up in Dublin to see Dylan. Only out of the station and 5 different people have tried to pour coddle into my hands. 

Terrifying place.

#speirgorm",at://did:plc:yq6twtxsyczk7wtcptg76za2/app.bsky.feed.post/3m6hpxgpt3c2p
at://did:plc:trjaqvpxbhcheqnr5fv6tkpm/app.bsky.feed.post/3m6horzcskc2d,johnbarrington.bsky.social,"The Point Depot is still The Point Depot
Lansdowne Road is still Lansdowne Road
The RDS will still be The RDS
#spéirghorm #Speirgorm #Ireland",at://did:plc:trjaqvpxbhcheqnr5fv6tkpm/app.bsky.feed.post/3m6horzcskc2d
at://did:plc:xsyhsinadeaebjifn2sgwc4m/app.bsky.feed.post/3m6hkohzmy22a,gerrioneillhist.bsky.social,"Why? Why bring party politics into it? There are more than enough Irish writers, artists and poets to choose from. James Joyce? Samuel Beckett? Patrick Kavanagh? W.B. Yeats? Harry Clarke? John Lavery? Or what about naming it after a woman? Radical, eh? #speirgorm",at://did:plc:xsyhsinadeaebjifn2sgwc4m/app.bsky.feed.post/3m6hkohzmy22a
at://did:plc:wpvwcjuhrpr5tjnhy3vp24ly/app.bsky.feed.post/3m6hidcg4as2k,fhayesmccoy.bsky.social,"If you fancy buying my books this Christmas, please consider shopping local/supporting indie booksellers 

#ONCEAYEAR is currently 20% off at Bookstation (Irish & family-run since 1989) 
Free, fast & tracked delivery over €10
Same prices online/in-store

#spéirgorm 💙📚

bookstation.ie/products/onc...",at://did:plc:wpvwcjuhrpr5tjnhy3vp24ly/app.bsky.feed.post/3m6hidcg4as2k
at://did:plc:kwtucfvy3bpc24xyam2ilqc2/app.bsky.feed.post/3m6hia4affc25,kevinkosullivan.bsky.social,One for the #speirgorm community.,at://did:plc:kwtucfvy3bpc24xyam2ilqc2/app.bsky.feed.post/3m6hia4affc25
at://did:plc:4gkhunopukop6ugvlessqyvx/app.bsky.feed.post/3m6hhj6hvg22v,chendirl.bsky.social,Tomorrow I will be speaking on #BabyLoss in 20th century #Ireland #Speirgorm at this HYBRID event in TCD 1pm GMT.   #HistMed #HistEmotions #ReproHist #Skystorians #HistMidwifery #Midwifery #MedHums #Stillbirth #Grief #Commemoration,at://did:plc:4gkhunopukop6ugvlessqyvx/app.bsky.feed.post/3m6hhj6hvg22v
at://did:plc:wse2xzmb4etf7dpmdodw75lt/app.bsky.feed.post/3m6hgbt5oh22y,jenniferomeara5.bsky.social,"Clare people, look at the Loop Head design ❤️
#SLATED
#SpeirGorm",at://did:plc:wse2xzmb4etf7dpmdodw75lt/app.bsky.feed.post/3m6hgbt5oh22y
at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6hdjj2nkc2m,slated.ie,"I took all of your advice.

The new boards are now live in the SLATED Landmark Collection.

Feel free to point out any errors. It was a bit of a rush job. 

Reposts would be amazing.

Slated.ie

#SLATED  #speirgorm",at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6hdjj2nkc2m
at://did:plc:3zrtumskbaikoqc2z3ou3nnc/app.bsky.feed.post/3m6hdapy4e22d,shanerazor.bsky.social,"20 residents holding up national infrastructure which will benefit 175,000 people and 250,000 jobs within walking distance and will move 20000 people per direction per hour. This is entitlement. #speirgorm

MetroLink to face legal challenge from Ranelagh residents

www.irishtimes.com/ireland/2025...",at://did:plc:3zrtumskbaikoqc2z3ou3nnc/app.bsky.feed.post/3m6hdapy4e22d
at://did:plc:siclj5jstt2xodsn7epgnqld/app.bsky.feed.post/3m6h63j7nuk2u,robosullivan.bsky.social,#spéirgorm,at://did:plc:siclj5jstt2xodsn7epgnqld/app.bsky.feed.post/3m6h63j7nuk2u
at://did:plc:27jd6epq7of5kodforfyhh45/app.bsky.feed.post/3m6h3dlkmd22v,aoifeb.bsky.social,"Thanks to Heritage Council funding, digital versions of these parish registers will soon be online. And the precious records of St Luke's Douglas can move from a damp old building to a temperature-controlled archive. #Speirgorm #Ireland 🗃️",at://did:plc:27jd6epq7of5kodforfyhh45/app.bsky.feed.post/3m6h3dlkmd22v
at://did:plc:nykl7whvnmnrluuxdkl72vum/app.bsky.feed.post/3m6guoyxzkc2g,breathingfire.bsky.social,The return of the time of the Táin Bó. Can berserkers and demigods be far behind? #CúChulainn #speirgorm,at://did:plc:nykl7whvnmnrluuxdkl72vum/app.bsky.feed.post/3m6guoyxzkc2g
